국회의원코드,의원이름(한자),의원이름(한글),경력대수,경력대수코드,의원이력,활동기간
HFC76443,孫俊鉉,손준현,제3대,100003,제3대 자유당 충북 영동,1956.10.01 ~ 1958.05.30
ZDM90606,宋璟燮,송경섭,제3대,100003,제3대 자유당 전남 고흥을,1954.05.31 ~ 1958.05.30
S752850H,宋邦鏞,송방용,제3대,100003,제3대 무소속 전북 김제군갑,1954.05.31 ~ 1958.05.30
0125591Q,宋宇範,송우범,제3대,100003,제3대 자유당 충남 대덕,1954.05.31 ~ 1958.05.30
GPM7798P,申珏休,신각휴,제3대,100003,제3대 민주국민당 충북 옥천군,1954.05.31 ~ 1958.05.30
GVH5135I,申奎植,신규식,제3대,100003,제3대 무소속 전북 부안군,1954.05.31 ~ 1958.05.30
C6C3484Q,愼道晟,신도성,제3대,100003,제3대 민주국민당 경남 거창,1954.05.31 ~ 1958.05.30
BN478490,愼鏞頊,신용욱,제3대,100003,제3대 자유당 전북 고창군을,1954.05.31 ~ 1958.05.30
YE180486,申義湜,신의식,제3대,100003,제3대 자유당 경기 용인시,1954.05.31 ~ 1958.05.30
EWG10700,申翼熙,신익희,제3대,100003,제3대 민주국민당 전남 광주,1954.05.31 ~ 1956.05.05
YLK9131H,申正浩,신정호,제3대,100003,제3대 무소속 충북 청원군갑,1954.05.31 ~ 1958.05.30
TLR8316E,申泰權,신태권,제3대,100003,제3대 자유당 충남 논산갑,1954.05.31 ~ 1958.05.30
BCA49185,申河均,신하균,제3대,100003,제3대 민주당 경기 광주,1956.08.23 ~ 1958.05.30
JA576115,申幸用,신행용,제3대,100003,제3대 무소속 전남 무안갑,1954.05.31 ~ 1958.05.30
C6F2967H,安東濬,안동준,제3대,100003,제3대 자유당 충북 괴산군,1954.05.31 ~ 1958.05.30
CIS4773L,安峻錡,안준기,제3대,100003,제3대 자유당 경남 산청,1955.12.27 ~ 1958.05.30
R7S1031B,梁瑛注,양영주,제3대,100003,제3대 자유당 전북 남원,1954.05.31 ~ 1958.05.30
7ZS40934,梁一東,양일동,제3대,100003,제3대 무소속 전북 옥구,1954.05.31 ~ 1958.05.30
K7P3215M,廉友良,염우량,제3대,100003,제3대 자유당 충남 공주갑,1954.05.31 ~ 1958.05.30
OGU6663Z,吳在泳,오재영,제3대,100003,제3대 무소속 경기 안성,1954.05.31 ~ 1958.05.30
KVC37398,吳衡根,오형근,제3대,100003,제3대 자유당 경기 가평,1954.05.31 ~ 1958.05.30
Z2X38669,兪鳳淳,유봉순,제3대,100003,제3대 무소속 경남 합천군갑,1954.05.31 ~ 1958.05.30
VJI5607W,柳順植,유순식,제3대,100003,제3대 자유당 충남 서산군을,1954.05.31 ~ 1958.05.30
BZC2787S,劉沃祐,유옥우,제3대,100003,제3대 자유당 전남 무안군을,1954.05.31 ~ 1958.05.30
NMO2287E,柳志元,유지원,제3대,100003,제3대 자유당 충남 연기군,1954.05.31 ~ 1958.05.30
T7T8359U,柳珍山,유진산,제3대,100003,제3대 무소속 충남 금산군,1954.05.31 ~ 1958.05.30
OU828223,陸完國,육완국,제3대,100003,제3대 무소속 충남 논산을,1954.05.31 ~ 1958.05.30
Z6869940,尹萬石,윤만석,제3대,100003,제3대 자유당 경북 문경,1954.05.31 ~ 1958.05.30
QPN4854H,尹炳浩,윤병호,제3대,100003,제3대 무소속 경남 남해,1954.05.31 ~ 1958.05.30
01B9062T,尹潽善,윤보선,제3대,100003,제3대 민주국민당 서울 종로구갑,1954.05.31 ~ 1958.05.30
LOB2889Z,尹珹淳,윤성순,제3대,100003,제3대 자유당 경기 포천군,1954.05.31 ~ 1958.05.30
C9D12588,尹鏞球,윤용구,제3대,100003,제3대 자유당 경북 청송군,1954.05.31 ~ 1958.05.30
HZM5927F,尹一相,윤일상,제3대,100003,제3대 자유당 경기 강화,1954.05.31 ~ 1958.05.30
K5961516,尹在旭,윤재욱,제3대,100003,제3대 무소속 서울 영등포구갑,1954.05.31 ~ 1958.05.30
J2O5434U,尹濟述,윤제술,제3대,100003,제3대 무소속 전북 김제군을,1954.05.31 ~ 1958.05.30
41C1267K,尹致暎,윤치영,제3대,100003,제3대 국민당 서울 중구갑,1954.05.31 ~ 1958.05.30
FJU47480,尹亨南,윤형남,제3대,100003,제3대 무소속 전남 순천시,1954.05.31 ~ 1958.05.30
SDZ7941A,李甲植,이갑식,제3대,100003,제3대 무소속 전남 구례군,1954.05.31 ~ 1958.05.30
K7142284,李起鵬,이기붕,제3대,100003,제3대 자유당 서울 서대문구을,1954.05.31 ~ 1958.05.30
JDX3877A,李炳洪,이병홍,제3대,100003,제3대 무소속 경남 산청군,1954.05.31 ~ 1955.10.17
QHN74829,李福晟,이복성,제3대,100003,제3대 자유당 전북 진안,1954.05.31 ~ 1954.07.18
P4U4707W,李錫基,이석기,제3대,100003,제3대 무소속 충남 부여군갑,1954.05.31 ~ 1958.05.30
VVR9014X,李成株,이성주,제3대,100003,제3대 자유당 경기 고양,1956.11.15 ~ 1958.05.30
F9L1467L,李英燮,이영섭,제3대,100003,제3대 자유당 경기 시흥,1954.05.31 ~ 1958.05.30
Z032043S,李榮彦,이영언,제3대,100003,제3대 자유당 경남 부산시무,1954.05.31 ~ 1958.05.30
R4T6466C,李泳熙,이영희,제3대,100003,제3대 자유당 경남 의령군,1954.05.31 ~ 1958.05.30
IER8832Z,李龍範,이용범,제3대,100003,제3대 자유당 경남 창원군을,1954.05.31 ~ 1958.05.30
7CO67428,李雨출,이우출,제3대,100003,제3대 무소속 경북 대구시병,1954.05.31 ~ 1958.05.30
M0587960,李仁,이인,제3대,100003,제3대 국민당 서울 영등포구을,1954.05.31 ~ 1958.05.30
VLY2436D,李在鶴,이재학,제3대,100003,제3대 자유당 강원 홍천군,1954.05.31 ~ 1958.05.30
QA449734,李政烋,이정휴,제3대,100003,제3대 자유당 전남 광산군갑,1954.05.31 ~ 1958.05.30
RN26636V,李正熙,이정희,제3대,100003,제3대 자유당 경북 영주군,1954.05.31 ~ 1958.05.30
8EZ7714G,李存華,이존화,제3대,100003,제3대 자유당 전북 완주군갑,1954.05.31 ~ 1958.05.30
6DA2612K,李鍾壽,이종수,제3대,100003,제3대 무소속 경남 김해을,1954.05.31 ~ 1958.05.30
6PV4212U,李哲承,이철승,제3대,100003,제3대 무소속 전북 전주,1954.05.31 ~ 1958.05.30
ZXL9063Y,李忠煥,이충환,제3대,100003,제3대 자유당 충북 진천군,1954.05.31 ~ 1958.05.30
E0N2954V,李泰鎔,이태용,제3대,100003,제3대 자유당 충북 제천,1954.05.31 ~ 1958.05.30
ZAR9602M,李鶴林,이학림,제3대,100003,제3대 자유당 충북 음성군,1954.05.31 ~ 1958.05.30
SC99825C,李協雨,이협우,제3대,100003,제3대 무소속 경북 경주군을,1954.05.31 ~ 1958.05.30
KJT7673K,李炯模,이형모,제3대,100003,제3대 자유당 전남 승주,1954.05.31 ~ 1958.05.30
5958302E,李亨鎭,이형진,제3대,100003,제3대 자유당 강원 평창,1954.05.31 ~ 1958.05.30
3MF9619J,印泰植,인태식,제3대,100003,제3대 자유당 충남 당진군갑,1954.05.31 ~ 1958.05.30
32269259,林佑永,임우영,제3대,100003,제3대 국민회 강원 춘성군,1954.05.31 ~ 1958.05.30
4UE4157N,林次周,임차주,제3대,100003,제3대 자유당 전북 순창군,1954.05.31 ~ 1958.05.30
0ZZ4006Q,任興淳,임흥순,제3대,100003,제3대 무소속 서울 성동구갑,1954.05.31 ~ 1958.05.30
QEO2121V,張璟根,장경근,제3대,100003,제3대 자유당 경기 부천,1954.05.31 ~ 1958.05.30
CRD1721O,張錫潤,장석윤,제3대,100003,제3대 무소속 강원 횡성군,1954.05.31 ~ 1958.05.30
55T8760B,張英根,장영근,제3대,100003,제3대 무소속 충북 단양,1954.05.31 ~ 1958.05.30
JKP8632F,張澤相,장택상,제3대,100003,제3대 무소속 경북 칠곡군,1954.05.31 ~ 1958.05.30
A5W54096,田萬重,전만중,제3대,100003,제3대 자유당 경북 울진군,1954.05.31 ~ 1958.05.30
DIS1418O,全相堯,전상요,제3대,100003,제3대 무소속 강원 정선,1954.05.31 ~ 1958.05.30
WGG9113S,錢鎭漢,전진한,제3대,100003,제3대 무소속 경남 부산시을,1954.05.31 ~ 1958.05.30
2B16119S,鄭甲柱,정갑주,제3대,100003,제3대 자유당 경남 사천,1954.05.31 ~ 1958.05.30
4FO16446,丁奎祥,정규상,제3대,100003,제3대 자유당 강원 영월군,1954.05.31 ~ 1958.05.30
U9P5175A,鄭基元,정기원,제3대,100003,제3대 자유당 경남 부산시병,1954.05.31 ~ 1958.05.30
BL032432,丁大天,정대천,제3대,100003,제3대 자유당 경기 파주군,1954.05.31 ~ 1958.05.30
P163012S,鄭明善,정명선,제3대,100003,제3대 자유당 충남 청양,1954.05.31 ~ 1958.05.30
Z457542X,丁明燮,정명섭,제3대,100003,제3대 자유당 전남 나주군을,1954.05.31 ~ 1958.05.30
ONF9011U,鄭文欽,정문흠,제3대,100003,제3대 자유당 경북 봉화군,1954.05.31 ~ 1958.05.30
CBY2504E,鄭相烈,정상열,제3대,100003,제3대 자유당 충남 대전,1954.05.31 ~ 1958.05.30
3ZY8842T,鄭成太,정성태,제3대,100003,제3대 무소속 전남 광주,1954.05.31 ~ 1958.05.30
QI74844U,鄭世煥,정세환,제3대,100003,제3대 무소속 전북 고창군갑,1954.05.31 ~ 1958.05.30
Q699375L,鄭一亨,정일형,제3대,100003,제3대 무소속 서울 중구을,1954.05.31 ~ 1958.05.30
Q5O2470M,鄭在浣,정재완,제3대,100003,제3대 무소속 전남 여수,1954.05.31 ~ 1958.05.30
A7I4124C,鄭存秀,정존수,제3대,100003,제3대 자유당 경기 수원,1954.05.31 ~ 1958.05.30
9G19731F,鄭濬,정준,제3대,100003,제3대 자유당 경기 김포군,1954.05.31 ~ 1958.05.30
2GQ2527Q,鄭準謨,정준모,제3대,100003,제3대 자유당 전북 장수군,1954.05.31 ~ 1958.05.30
KUY49253,鄭重燮,정중섭,제3대,100003,제3대 민주국민당 전남 목포,1954.05.31 ~ 1958.05.30
35G1176L,鄭海永,정해영,제3대,100003,제3대 자유당 경남 울산군을,1954.05.31 ~ 1958.05.30
8PS6768V,趙瓊奎,조경규,제3대,100003,제3대 자유당 경남 함안군,1954.05.31 ~ 1958.05.30
5S420649,趙南壽,조남수,제3대,100003,제3대 자유당 충남 부여을 ,1954.05.31 ~ 1958.05.30
0ZA5292Q,曺萬鍾,조만종,제3대,100003,제3대 자유당 경남 밀양을,1954.05.31 ~ 1958.05.30
F1818051,曺秉雯,조병문,제3대,100003,제3대 자유당 전남 진도군,1954.05.31 ~ 1958.05.30
12C72662,趙炳玉,조병옥,제3대,100003,제3대 민주국민당 경북 대구시을,1954.05.31 ~ 1958.05.30
Z663618L,趙淳,조순,제3대,100003,제3대 자유당 전남 곡성군,1954.05.31 ~ 1958.05.30
OI72712W,曺泳珪,조영규,제3대,100003,제3대 민주국민당 전남 영광군,1954.05.31 ~ 1958.05.30
1AT5639X,曹在千,조재천,제3대,100003,제3대 민주국민당 경북 달성군,1954.05.31 ~ 1958.05.30
SFQ3609C,池榮璡,지영진,제3대,100003,제3대 무소속 경남 양산군,1954.05.31 ~ 1958.05.30
ZW563263,千世基,천세기,제3대,100003,제3대 무소속 경기 양평군,1954.05.31 ~ 1958.05.30
7NQ8935D,崔甲煥,최갑환,제3대,100003,제3대 무소속 경남 고성,1954.05.31 ~ 1958.05.30
5CW7597F,崔秉國,최병국,제3대,100003,제3대 자유당 경기 화성을,1954.05.31 ~ 1958.05.30
16U2760I,崔秉權,최병권,제3대,100003,제3대 자유당 경북 울릉군,1954.05.31 ~ 1958.05.30
H5O71577,崔淳周,최순주,제3대,100003,제3대 자유당 충북 영동,1954.05.31 ~ 1956.06.11
EMK10069,崔營哲,최영철,제3대,100003,제3대 무소속 전남 나주갑,1954.05.31 ~ 1958.05.30
R3W4686C,崔容根,최용근,제3대,100003,제3대 자유당 강원 강릉시갑,1954.05.31 ~ 1958.05.30
0RV56457,崔昌燮,최창섭,제3대,100003,제3대 자유당 경남 합천군을,1954.05.31 ~ 1958.05.30
SHS9947V,崔天,최천,제3대,100003,제3대 민주국민당 경남 통영군,1954.05.31 ~ 1958.05.30
5HK7187K,表良文,표양문,제3대,100003,제3대 자유당 경기 인천병,1954.05.31 ~ 1958.05.30
0309287O,河乙春,하을춘,제3대,100003,제3대 무소속 경남 창녕,1954.05.31 ~ 1958.05.30
HV14991C,河泰煥,하태환,제3대,100003,제3대 무소속 경북 포항,1954.05.31 ~ 1958.05.30
YMG7827K,韓東錫,한동석,제3대,100003,제3대 자유당 경기 고양,1954.05.31 ~ 1956.08.03
OQO9849Q,韓熙錫,한희석,제3대,100003,제3대 자유당 충남 천안군,1954.05.31 ~ 1958.05.30
JAM9884F,咸斗榮,함두영,제3대,100003,제3대 자유당 서울 마포구을,1954.05.31 ~ 1958.05.30
FQL8124R,咸在勳,함재훈,제3대,100003,제3대 자유당 강원 원주,1954.05.31 ~ 1958.05.30
W3A5272E,玄錫虎,현석호,제3대,100003,제3대 자유당 경북 예천군,1954.05.31 ~ 1958.05.30
NJR40626,洪淳徹,홍순철,제3대,100003,제3대 자유당 충남 아산,1954.05.31 ~ 1958.05.30
8RQ4116H,洪滄燮,홍창섭,제3대,100003,제3대 자유당 강원 춘천,1954.05.31 ~ 1958.05.30
GBU7356K,黃慶秀,황경수,제3대,100003,제3대 자유당 경기 평택,1954.05.31 ~ 1958.05.30
26E77158,黃南八,황남팔,제3대,100003,제3대 자유당 경남 진양,1954.05.31 ~ 1958.05.30
F5A5259M,黃聖秀,황성수,제3대,100003,제3대 자유당 전남 보성군,1954.05.31 ~ 1958.05.30
7D558796,姜聲邰,강성태,제4대,100004,제4대 자유당 경기 양주을,1958.05.31 ~ 1960.07.02
HF088064,姜永薰,강영훈,제4대,100004,제4대 민주당 경기 양주갑,1958.05.31 ~ 1960.07.28
2112111J,姜琮武,강종무,제4대,100004,제4대 자유당 경남 김해갑,1958.05.31 ~ 1960.07.28
8FK1860S,桂珖淳,계광순,제4대,100004,제4대 민주당 강원 춘천,1958.05.31 ~ 1960.07.28
S5Q7808I,高湛龍,고담용,제4대,100004,제4대 민주당 제주 제주,1958.05.31 ~ 1960.07.28
7GP9235Q,郭尙勳,곽상훈,제4대,100004,제4대 민주당 경기 인천시을,1958.05.31 ~ 1960.07.28
V8A6249O,郭義榮,곽의영,제4대,100004,제4대 자유당 충북 청원을,1958.05.31 ~ 1960.07.28
D2Y1484N,具喆會,구철회,제4대,100004,제4대 민주당 경기 용인,1958.05.31 ~ 1960.07.28
S903593H,具泰會,구태회,제4대,100004,제4대 자유당 경남 진양,1958.05.31 ~ 1960.07.28
JYI19502,具興南,구흥남,제4대,100004,제4대 자유당 전남 화순,1958.05.31 ~ 1960.07.28
E6X6144N,鞠快男,국쾌남,제4대,100004,제4대 자유당 전남 담양,1958.05.31 ~ 1960.07.01
49282263,權福仁,권복인,제4대,100004,제4대 자유당 충북 옥천군,1958.05.31 ~ 1960.07.28
8MI34542,權五鍾,권오종,제4대,100004,제4대 민주당 경북 안동갑,1958.05.31 ~ 1960.02.01
L7X5327D,權仲敦,권중돈,제4대,100004,제4대 민주당 경북 영천군을,1958.05.31 ~ 1960.07.28
V9I95643,金公平,김공평,제4대,100004,제4대 자유당 충남 논산갑,1958.05.31 ~ 1960.07.28
BCO76155,金圭晩,김규만,제4대,100004,제4대 민주당 경북 의성갑,1958.05.31 ~ 1960.07.28
02E7012K,金度演,김도연,제4대,100004,제4대 민주당 서울 서대문구갑,1958.05.31 ~ 1960.07.28
UHG5943I,金東碩,김동석,제4대,100004,제4대 자유당 경북 선산,1959.01.03 ~ 1960.07.28
PVZ78650,金東郁,김동욱,제4대,100004,"제4대 민주당 경남 부산시,서구을",1958.05.31 ~ 1960.07.28
CEL9780D,金斗珍,김두진,제4대,100004,제4대 자유당 제주 북제주,1958.05.31 ~ 1960.07.28
9HG7146S,金柄淳,김병순,제4대,100004,제4대 자유당 전남 해남군갑,1958.05.31 ~ 1960.07.28
8OI18443,金朔,김삭,제4대,100004,제4대 민주당 전남 무안병,1958.05.31 ~ 1960.07.28
9AH17628,金相道,김상도,제4대,100004,제4대 자유당 경북 영천갑,1958.05.31 ~ 1960.07.28
B5N4494M,金相敦,김상돈,제4대,100004,제4대 민주당 서울 마포구,1958.05.31 ~ 1960.07.28
VRD1960B,金石辰,김석진,제4대,100004,제4대 자유당 전남 해남을,1958.05.31 ~ 1960.07.28
QZ24460V,金善佑,김선우,제4대,100004,제4대 자유당 충북 보은,1958.05.31 ~ 1960.07.28
9AY9596P,金善太,김선태,제4대,100004,제4대 민주당 전남 완도군,1958.05.31 ~ 1960.07.28
FCE8204Q,金成坤,김성곤,제4대,100004,제4대 자유당 경북 달성군,1958.05.31 ~ 1960.07.28
35C3600V,金成鐸,김성탁,제4대,100004,제4대 자유당 경남 울산을,1959.06.23 ~ 1960.07.28
35C3600V,金成鐸,김성탁,제4대,100004,제4대 자유당 경남 울산군을,1958.05.31 ~ 1959.05.27
DQU56381,金容珍,김용진,제4대,100004,제4대 민주당 경남 진주,1958.05.31 ~ 1960.07.28
A3G7464L,金雨東,김우동,제4대,100004,제4대 자유당 경북 선산,1958.05.31 ~ 1958.12.29
OM981305,金元圭,김원규,제4대,100004,제4대 자유당 경북 영덕,1959.06.05 ~ 1960.07.28
OM981305,金元圭,김원규,제4대,100004,제4대 자유당 경북 영덕군,1958.05.31 ~ 1959.03.11
6W47398I,金元萬,김원만,제4대,100004,제4대 민주당 서울 용산구을,1958.05.31 ~ 1960.07.28
V8G24132,金元全,김원전,제4대,100004,제4대 자유당 전북 군산,1958.05.31 ~ 1960.07.28
UKP8791T,金元中,김원중,제4대,100004,제4대 자유당 전북 이리,1958.05.31 ~ 1960.07.28
QVM2127M,金元泰,김원태,제4대,100004,제4대 자유당 충북 괴산군,1958.05.31 ~ 1960.07.28
IAJ7601G,金應柱,김응주,제4대,100004,"제4대 민주당 경남 부산시,중구",1958.05.31 ~ 1960.07.28
FY962400,金意俊,김의준,제4대,100004,제4대 자유당 경기 여주군,1958.05.31 ~ 1960.07.28
QHN2542J,金義澤,김의택,제4대,100004,제4대 민주당 전남 함평군,1958.05.31 ~ 1960.07.28
Q0G1675P,金翼基,김익기,제4대,100004,제4대 자유당 경북 안동을,1958.05.31 ~ 1960.07.01
ALP55797,金益魯,김익노,제4대,100004,제4대 자유당 경북 영일군을,1958.09.18 ~ 1959.11.04
ALP55797,金益魯,김익노,제4대,100004,제4대 자유당 경북 영일군을,1958.05.31 ~ 1958.06.21
0FI5654U,金仁浩,김인호,제4대,100004,"제4대 자유당 경남 부산시,동래구",1958.05.31 ~ 1960.07.28
LBW3224V,金長涉,김장섭,제4대,100004,제4대 자유당 경북 영일군을,1960.01.23 ~ 1960.06.27
5GF49809,金裁坤,김재곤,제4대,100004,제4대 민주당 경기 인천시갑,1958.05.31 ~ 1960.07.28
MD021272,金載瑋,김재위,제4대,100004,제4대 자유당 경남 산청군,1958.05.31 ~ 1960.07.28
NOT24186,金正根,김정근,제4대,100004,제4대 무소속 경북 상주군을,1958.05.31 ~ 1960.07.28
6AB6967Z,金正基,김정기,제4대,100004,제4대 자유당 경남 남해,1958.05.31 ~ 1960.07.28
17B60439,金正煥,김정환,제4대,100004,제4대 민주당 경남 밀양을,1958.05.31 ~ 1960.07.28
A3067041,金種哲,김종철,제4대,100004,제4대 자유당 충남 천안군을,1958.05.31 ~ 1960.07.28
5094967K,金周默,김주묵,제4대,100004,제4대 민주당 충북 음성군,1958.05.31 ~ 1960.07.28
B7963485,金俊淵,김준연,제4대,100004,제4대 통일당 전남 영암군,1958.05.31 ~ 1960.07.28
4CS27498,金振晩,김진만,제4대,100004,제4대 자유당 강원 삼척군,1958.05.31 ~ 1960.07.28
80T5305Q,金鎭元,김진원,제4대,100004,제4대 자유당 전북 무주,1958.05.31 ~ 1960.07.28
GAB3309S,金彰東,김창동,제4대,100004,제4대 자유당 충남 청양,1958.05.31 ~ 1960.07.28
KX03754G,金喆安,김철안,제4대,100004,제4대 자유당 경북 금릉,1958.05.31 ~ 1960.07.28
NJE79330,金學俊,김학준,제4대,100004,제4대 민주당 충남 공주군을,1958.05.31 ~ 1960.07.28
FAW6394Q,金向洙,김향수,제4대,100004,제4대 무소속 충남 당진,1958.05.31 ~ 1960.07.28
QYO4841Y,金炯燉,김형돈,제4대,100004,제4대 자유당 경남 창원갑,1958.05.31 ~ 1960.07.28
P1A7319F,金炯燮,김형섭,제4대,100004,제4대 자유당 전북 익산,1958.05.31 ~ 1960.07.28
KVS3365C,金勳,김훈,제4대,100004,제4대 민주당 경기 인천시병,1958.05.31 ~ 1960.07.28
CBC6062B,羅相謹,나상근,제4대,100004,제4대 자유당 강원 인제,1958.05.31 ~ 1959.03.11
1C747415,羅容均,나용균,제4대,100004,제4대 민주당 전북 정읍군갑,1958.05.31 ~ 1960.07.28
9U96592M,羅判洙,나판수,제4대,100004,제4대 자유당 전남 무안갑,1958.05.31 ~ 1960.07.28
B6M4773K,柳鴻,류홍,제4대,100004,제4대 민주당 서울 영등포구을,1958.05.31 ~ 1960.07.28
RWS84983,文鍾斗,문종두,제4대,100004,제4대 무소속 경북 김천,1958.05.31 ~ 1960.07.28
IFZ22975,閔寬植,민관식,제4대,100004,제4대 무소속 서울 동대문구갑,1958.05.31 ~ 1960.07.28
TXE85564,閔壯植,민장식,제4대,100004,제4대 민주당 충북 영동군,1958.05.31 ~ 1960.07.28
YPM6195K,朴德永,박덕영,제4대,100004,제4대 자유당 강원 화천,1958.05.31 ~ 1960.07.28
6M29799L,朴晩元,박만원,제4대,100004,제4대 자유당 경북 군위군,1958.05.31 ~ 1960.05.03
XQI3226N,朴炳培,박병배,제4대,100004,제4대 무소속 충남 대덕군 ,1958.05.31 ~ 1960.07.28
ACV1284I,朴相吉,박상길,제4대,100004,제4대 무소속 경남 함양,1958.05.31 ~ 1960.07.28
SY93161O,朴世經,박세경,제4대,100004,제4대 자유당 전북 임실,1958.05.31 ~ 1960.07.28
4J092952,朴順碩,박순석,제4대,100004,제4대 자유당 경북 영일갑,1958.05.31 ~ 1960.06.29
9PW85797,朴順天,박순천,제4대,100004,"제4대 민주당 경남 부산시,동구갑",1958.05.31 ~ 1960.07.28
KRL7908R,朴永敎,박영교,제4대,100004,제4대 자유당 경북 의성을,1958.05.31 ~ 1960.07.28
8Y02595O,朴容益,박용익,제4대,100004,제4대 자유당 강원 명주,1958.05.31 ~ 1960.07.28
VVU5942X,朴鍾吉,박종길,제4대,100004,제4대 자유당 경북 영양군,1958.05.31 ~ 1960.07.28
WNK5943X,朴瓚鉉,박찬현,제4대,100004,"제4대 민주당 경남 부산시,진구을",1958.05.31 ~ 1960.07.28
4QB7640A,朴昌華,박창화,제4대,100004,제4대 민주당 경남 밀양갑,1958.05.31 ~ 1960.07.28
NC58544B,朴哲雄,박철웅,제4대,100004,제4대 자유당 전남 고흥군을,1958.05.31 ~ 1960.06.30
11C83047,朴忠模,박충모,제4대,100004,제4대 민주당 강원 원주,1958.05.31 ~ 1960.07.28
NNI13192,朴忠植,박충식,제4대,100004,제4대 자유당 충남 공주군갑,1958.05.31 ~ 1960.07.28
0KQ3355X,朴海楨,박해정,제4대,100004,제4대 민주당 경북 경산,1958.05.31 ~ 1960.07.28
1PM2680D,朴賢淑,박현숙,제4대,100004,제4대 자유당 강원 금화,1958.05.31 ~ 1960.07.28
RJ65769E,朴興奎,박흥규,제4대,100004,제4대 자유당 전남 광주병,1958.05.31 ~ 1960.07.28
12S4576K,潘在鉉,반재현,제4대,100004,제4대 무소속 경북 청도,1958.05.31 ~ 1960.07.28
P0K1472B,裵聖基,배성기,제4대,100004,제4대 민주당 전북 완주군을,1958.05.31 ~ 1960.07.28
TWE1466J,邊鎭甲,변진갑,제4대,100004,제4대 자유당 전남 장성군,1958.05.31 ~ 1960.07.28
XWY90381,徐範錫,서범석,제4대,100004,제4대 민주당 서울 성북구,1958.05.31 ~ 1960.07.28
AU89688O,徐壬壽,서임수,제4대,100004,제4대 무소속 강원 철원,1958.05.31 ~ 1960.07.28
SJE9116Z,徐廷貴,서정귀,제4대,100004,제4대 민주당 경남 통영군,1958.05.31 ~ 1960.07.28
0G289671,徐漢斗,서한두,제4대,100004,제4대 자유당 경남 거창,1958.05.31 ~ 1960.07.28
JIM7928G,孫道心,손도심,제4대,100004,제4대 자유당 경기 화성갑,1958.05.31 ~ 1960.05.03
BV525478,孫文璟,손문경,제4대,100004,제4대 자유당 전남 고흥갑,1958.05.31 ~ 1960.07.01
C8H16331,孫錫斗,손석두,제4대,100004,제4대 자유당 전남 장흥,1958.05.31 ~ 1960.07.28
2NC1044M,孫永壽,손영수,제4대,100004,제4대 자유당 경남 하동,1958.05.31 ~ 1960.07.28
4Q82914S,孫在馨,손재형,제4대,100004,제4대 무소속 전남 진도군,1958.05.31 ~ 1960.07.28
YKY4724R,宋榮柱,송영주,제4대,100004,제4대 민주당 전북 정읍을,1958.05.31 ~ 1960.07.28
GVH5135I,申奎植,신규식,제4대,100004,제4대 자유당 전북 부안,1958.05.31 ~ 1960.06.30
MW81180N,辛道煥,신도환,제4대,100004,제4대 무소속 경북 대구시갑,1958.05.31 ~ 1960.05.03
J1D5637T,辛泳柱,신영주,제4대,100004,제4대 무소속 경남 창녕군,1958.05.31 ~ 1960.07.28
TO87025R,安均燮,안균섭,제4대,100004,제4대 자유당 전북 남원을,1958.05.31 ~ 1960.07.28
PV57461D,安德基,안덕기,제4대,100004,제4대 자유당 경남 울산갑,1958.05.31 ~ 1960.07.28
NL76279R,安龍大,안용대,제4대,100004,제4대 무소속 경북 경주,1958.05.31 ~ 1960.07.28
4PI9202R,安龍佰,안용백,제4대,100004,제4대 자유당 전남 보성,1958.05.31 ~ 1959.06.24
7ZS40934,梁一東,양일동,제4대,100004,제4대 무소속 전북 옥구,1958.05.31 ~ 1960.07.28
FLC9014O,嚴詳燮,엄상섭,제4대,100004,제4대 민주당 서울 용산구갑,1958.05.31 ~ 1960.05.03
S9A1886X,吳範秀,오범수,제4대,100004,제4대 자유당 충북 청원갑,1958.05.31 ~ 1960.07.01
JHG3321R,吳緯泳,오위영,제4대,100004,"제4대 민주당 경남 부산시,동구을",1958.05.31 ~ 1960.06.30
OGU6663Z,吳在泳,오재영,제4대,100004,제4대 자유당 경기 안성,1958.05.31 ~ 1960.07.28
QWX1835O,禹熙昌,우희창,제4대,100004,제4대 민주당 충남 서천,1958.05.31 ~ 1960.07.28
LTA6652H,元容奭,원용석,제4대,100004,제4대 자유당 충남 당진을,1958.05.31 ~ 1960.06.28
YTA2960J,劉奇洙,유기수,제4대,100004,제4대 무소속 강원 정선,1958.05.31 ~ 1960.07.28
Z2X38669,兪鳳淳,유봉순,제4대,100004,제4대 자유당 경남 합천갑,1958.05.31 ~ 1960.07.28
8941463K,劉聖權,유성권,제4대,100004,제4대 민주당 서울 성동구갑,1958.05.31 ~ 1960.07.28
VJI5607W,柳順植,유순식,제4대,100004,제4대 자유당 충남 서산을,1958.05.31 ~ 1960.07.28
Q7Q21040,兪昇濬,유승준,제4대,100004,제4대 민주당 충남 홍성군,1958.05.31 ~ 1960.07.28
HJM6004Z,兪英濬,유영준,제4대,100004,제4대 자유당 경기 옹진,1958.05.31 ~ 1960.07.28
BZC2787S,劉沃祐,유옥우,제4대,100004,제4대 민주당 전남 무안군을,1958.05.31 ~ 1960.07.28
1E67209A,兪龍植,유용식,제4대,100004,제4대 자유당 경기 양평,1958.05.31 ~ 1960.07.28
NMO2287E,柳志元,유지원,제4대,100004,제4대 자유당 충남 연기,1958.05.31 ~ 1960.07.28
