MONA_CD,HJ_NM,HG_NM,PROFILE_UNIT_NM,PROFILE_UNIT_CD,PROFILE_SJ,FRTO_DATE
O7R5461J,尹厚德,윤후덕,제19대,100019.0,제19대 국토해양위원회,2012.07.09 ~ 2013.03.21
I7R13867,李介昊,이개호,제21대,100021.0,제21대 문화체육관광위원회,2022.07.26 ~ 
I7R13867,李介昊,이개호,제21대,100021.0,제21대 보건복지위원회,2022.07.22 ~ 2022.07.26
I7R13867,李介昊,이개호,제21대,100021.0,제21대 농림축산식품해양수산위원회,2020.06.15 ~ 2022.05.29
I7R13867,李介昊,이개호,제21대,100021.0,제21대 정보위원회,2020.06.15 ~ 2021.01.18
I7R13867,李介昊,이개호,제20대,100020.0,제20대 농림축산식품해양수산위원회,2020.03.24 ~ 2020.05.29
I7R13867,李介昊,이개호,제20대,100020.0,제20대 과학기술정보방송통신위원회,2020.03.10 ~ 2020.03.24
I7R13867,李介昊,이개호,제20대,100020.0,제20대 행정안전위원회,2020.03.06 ~ 2020.03.10
I7R13867,李介昊,이개호,제20대,100020.0,제20대 과학기술정보방송통신위원회,2020.03.05 ~ 2020.03.06
I7R13867,李介昊,이개호,제20대,100020.0,제20대 행정안전위원회,2020.03.04 ~ 2020.03.05
I7R13867,李介昊,이개호,제20대,100020.0,제20대 과학기술정보방송통신위원회,2019.09.04 ~ 2020.03.04
I7R13867,李介昊,이개호,제20대,100020.0,제20대 교육위원회,2019.09.02 ~ 2019.09.04
I7R13867,李介昊,이개호,제20대,100020.0,제20대 과학기술정보방송통신위원회,2019.04.22 ~ 2019.09.02
I7R13867,李介昊,이개호,제20대,100020.0,제20대 교육위원회,2019.04.17 ~ 2019.04.22
I7R13867,李介昊,이개호,제20대,100020.0,제20대 과학기술정보방송통신위원회,2019.04.10 ~ 2019.04.17
I7R13867,李介昊,이개호,제20대,100020.0,제20대 보건복지위원회,2018.08.27 ~ 2019.04.10
I7R13867,李介昊,이개호,제20대,100020.0,제20대 법제사법위원회,2018.08.23 ~ 2018.08.27
I7R13867,李介昊,이개호,제20대,100020.0,제20대 농림축산식품해양수산위원회,2018.07.16 ~ 2018.08.23
I7R13867,李介昊,이개호,제20대,100020.0,제20대 농림축산식품해양수산위원회,2016.06.13 ~ 2018.05.29
I7R13867,李介昊,이개호,제20대,100020.0,제20대 예산결산특별위원회,2016.06.13 ~ 2017.05.29
I7R13867,李介昊,이개호,제19대,100019.0,제19대 예산결산특별위원회,2015.06.18 ~ 2016.05.29
I7R13867,李介昊,이개호,제19대,100019.0,제19대 국회운영위원회,2015.01.28 ~ 2015.04.30
I7R13867,李介昊,이개호,제19대,100019.0,제19대 창조경제활성화 특별위원회,2014.11.05 ~ 2015.06.30
